time_s,q0,qdot0,tau0,q1,qdot1,tau1,q2,qdot2,tau2,q3,qdot3,tau3,q4,qdot4,tau4,q5,qdot5,tau5,q6,qdot6,tau6,q7,qdot7,tau7,q8,qdot8,tau8,q9,qdot9,tau9,q10,qdot10,tau10,q11,qdot11,tau11,command_0,command_1,command_2,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z
1.832204580307006836e+00,-1.352874040603637695e-01,-5.038180947303771973e-02,1.236914098262786865e-01,1.197944879531860352e+00,4.650628566741943359e-02,-7.421484589576721191e-02,-2.733169078826904297e+00,-3.033018670976161957e-02,2.844902276992797852e-01,5.547583103179931641e-02,-3.875523805618286133e-02,1.236914098262786865e-01,1.231007814407348633e+00,-5.425733327865600586e-02,1.484296917915344238e-01,-2.797352075576782227e+00,2.628616243600845337e-02,-2.370752096176147461e-01,-3.434505462646484375e-01,3.875523805618286133e-02,0.000000000000000000e+00,1.313962817192077637e+00,5.038180947303771973e-02,0.000000000000000000e+00,-2.815360546112060547e+00,-2.022012509405612946e-02,0.000000000000000000e+00,3.760594725608825684e-01,5.038180947303771973e-02,0.000000000000000000e+00,1.273542284965515137e+00,-3.487971425056457520e-02,2.473828196525573730e-02,-2.765884637832641602e+00,2.022012509405612946e-02,-9.483008086681365967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850207567214965820e-01,6.668819580227136612e-03,-5.097617581486701965e-02,1.645940989255905151e-01
1.860084176063537598e+00,-1.351662874221801758e-01,0.000000000000000000e+00,1.236914098262786865e-01,1.198096156120300293e+00,3.100419044494628906e-02,-4.947656393051147461e-02,-2.733184814453125000e+00,6.066037341952323914e-03,9.483008086681365967e-02,5.538499355316162109e-02,-8.526152372360229492e-02,4.947656393051147461e-02,1.231128931045532227e+00,-2.712866663932800293e-02,2.226445376873016357e-01,-2.797241687774658203e+00,2.224213629961013794e-02,0.000000000000000000e+00,-3.433899879455566406e-01,5.038180947303771973e-02,4.947656393051147461e-02,1.313962817192077637e+00,5.425733327865600586e-02,-7.421484589576721191e-02,-2.815313339233398438e+00,-2.426414936780929565e-02,1.422451138496398926e-01,3.759080767631530762e-01,-7.751047611236572266e-03,-1.484296917915344238e-01,1.273723959922790527e+00,3.487971425056457520e-02,7.421484589576721191e-02,-2.765852928161621094e+00,1.213207468390464783e-02,9.483008086681365967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850204586982727051e-01,6.691570393741130829e-03,-5.101566389203071594e-02,1.645826697349548340e-01
1.890073299407958984e+00,-1.349543333053588867e-01,7.751047611236572266e-03,1.236914098262786865e-01,1.198277831077575684e+00,5.425733327865600586e-02,7.421484589576721191e-02,-2.733200550079345703e+00,-1.415408682078123093e-02,9.483008086681365967e-02,5.532443523406982422e-02,-8.138599991798400879e-02,0.000000000000000000e+00,1.231280326843261719e+00,-2.325314283370971680e-02,1.484296917915344238e-01,-2.797020435333251953e+00,-1.011006254702806473e-02,1.422451138496398926e-01,-3.432991802692413330e-01,3.875523805618286133e-02,7.421484589576721191e-02,1.313902258872985840e+00,-7.363495230674743652e-02,-7.421484589576721191e-02,-2.815250158309936523e+00,-4.044024739414453506e-03,1.422451138496398926e-01,3.757264018058776855e-01,1.162657141685485840e-02,-2.473828196525573730e-01,1.273966193199157715e+00,-4.263076186180114746e-02,7.421484589576721191e-02,-2.765852928161621094e+00,-4.044024739414453506e-03,9.483008086681365967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850193262100219727e-01,6.703658495098352432e-03,-5.097831413149833679e-02,1.646004021167755127e-01
1.892107486724853516e+00,-1.349543333053588867e-01,7.751047611236572266e-03,1.236914098262786865e-01,1.198277831077575684e+00,5.425733327865600586e-02,7.421484589576721191e-02,-2.733200550079345703e+00,-1.415408682078123093e-02,9.483008086681365967e-02,5.532443523406982422e-02,-8.138599991798400879e-02,0.000000000000000000e+00,1.231280326843261719e+00,-2.325314283370971680e-02,1.484296917915344238e-01,-2.797020435333251953e+00,-1.011006254702806473e-02,1.422451138496398926e-01,-3.432991802692413330e-01,3.875523805618286133e-02,7.421484589576721191e-02,1.313902258872985840e+00,-7.363495230674743652e-02,-7.421484589576721191e-02,-2.815250158309936523e+00,-4.044024739414453506e-03,1.422451138496398926e-01,3.757264018058776855e-01,1.162657141685485840e-02,-2.473828196525573730e-01,1.273966193199157715e+00,-4.263076186180114746e-02,7.421484589576721191e-02,-2.765852928161621094e+00,-4.044024739414453506e-03,9.483008086681365967e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850193262100219727e-01,6.703658495098352432e-03,-5.097831413149833679e-02,1.646004021167755127e-01
1.910318136215209961e+00,-1.340460181236267090e-01,4.650628566741943359e-02,0.000000000000000000e+00,1.198792576789855957e+00,1.937761902809143066e-02,7.421484589576721191e-02,-2.733169078826904297e+00,-2.628616243600845337e-02,1.422451138496398926e-01,5.517309904098510742e-02,-3.875523805618286133e-02,-2.473828196525573730e-02,1.231673955917358398e+00,5.425733327865600586e-02,2.473828196525573730e-01,-2.796783447265625000e+00,6.066037341952323914e-03,2.844902276992797852e-01,-3.430569469928741455e-01,3.487971425056457520e-02,1.484296917915344238e-01,1.314023375511169434e+00,-1.937761902809143066e-02,2.473828196525573730e-02,-2.815060615539550781e+00,4.044024739414453506e-03,2.370752096176147461e-01,3.752419948577880859e-01,-2.712866663932800293e-02,-3.463359475135803223e-01,1.274511098861694336e+00,1.937761902809143066e-02,1.236914098262786865e-01,-2.765805721282958984e+00,3.235219791531562805e-02,2.844902276992797852e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850131273269653320e-01,6.702853366732597351e-03,-5.096637457609176636e-02,1.646414846181869507e-01
1.938373446464538574e+00,-1.315935254096984863e-01,8.913704752922058105e-02,0.000000000000000000e+00,1.201033115386962891e+00,5.038180947303771973e-02,4.947656393051147461e-02,-2.733026981353759766e+00,1.213207468390464783e-02,3.319052755832672119e-01,5.471891164779663086e-02,-9.301257133483886719e-02,0.000000000000000000e+00,1.232703447341918945e+00,1.007636189460754395e-01,3.463359475135803223e-01,-2.796183109283447266e+00,5.459433421492576599e-02,4.741504192352294922e-01,-3.422697186470031738e-01,1.550209522247314453e-02,3.463359475135803223e-01,1.314235329627990723e+00,-6.588390469551086426e-02,1.236914098262786865e-01,-2.813844203948974609e+00,1.192987337708473206e-01,3.319052755832672119e-01,3.737886548042297363e-01,-3.875523805618286133e-02,-3.710742294788360596e-01,1.275873661041259766e+00,4.650628566741943359e-02,7.421484589576721191e-02,-2.765710830688476562e+00,0.000000000000000000e+00,5.215654373168945312e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850175976753234863e-01,6.736318580806255341e-03,-5.093786120414733887e-02,1.646221429109573364e-01
1.968577980995178223e+00,-1.288383007049560547e-01,1.123901903629302979e-01,-1.236914098262786865e-01,1.202849745750427246e+00,1.201412379741668701e-01,2.473828196525573730e-01,-2.732647657394409180e+00,5.257232487201690674e-02,3.319052755832672119e-01,5.396199226379394531e-02,1.162657141685485840e-02,-2.473828196525573730e-02,1.233793377876281738e+00,5.813286080956459045e-02,4.700273573398590088e-01,-2.794682502746582031e+00,9.907861053943634033e-02,3.319052755832672119e-01,-3.413008451461791992e-01,-7.751047611236572266e-03,4.452890753746032715e-01,1.314507842063903809e+00,3.875523805618286133e-02,1.236914098262786865e-01,-2.812959671020507812e+00,2.022012369707226753e-03,7.112256288528442383e-01,3.721536993980407715e-01,-2.325314283370971680e-02,-5.689804553985595703e-01,1.277024269104003906e+00,1.550209522247314453e-02,1.236914098262786865e-01,-2.765631914138793945e+00,0.000000000000000000e+00,6.638105511665344238e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850199222564697266e-01,6.752814166247844696e-03,-5.089096352458000183e-02,1.646216809749603271e-01
1.970739603042602539e+00,-1.288383007049560547e-01,1.123901903629302979e-01,-1.236914098262786865e-01,1.202849745750427246e+00,1.201412379741668701e-01,2.473828196525573730e-01,-2.732647657394409180e+00,5.257232487201690674e-02,3.319052755832672119e-01,5.396199226379394531e-02,1.162657141685485840e-02,-2.473828196525573730e-02,1.233793377876281738e+00,5.813286080956459045e-02,4.700273573398590088e-01,-2.794682502746582031e+00,9.907861053943634033e-02,3.319052755832672119e-01,-3.413008451461791992e-01,-7.751047611236572266e-03,4.452890753746032715e-01,1.314507842063903809e+00,3.875523805618286133e-02,1.236914098262786865e-01,-2.812959671020507812e+00,2.022012369707226753e-03,7.112256288528442383e-01,3.721536993980407715e-01,-2.325314283370971680e-02,-5.689804553985595703e-01,1.277024269104003906e+00,1.550209522247314453e-02,1.236914098262786865e-01,-2.765631914138793945e+00,0.000000000000000000e+00,6.638105511665344238e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850199222564697266e-01,6.752814166247844696e-03,-5.089096352458000183e-02,1.646216809749603271e-01
1.992455482482910156e+00,-1.243572235107421875e-01,1.240167617797851562e-01,2.473828196525573730e-02,1.207088589668273926e+00,1.550209522247314453e-01,1.731679737567901611e-01,-2.731636762619018555e+00,4.650628566741943359e-02,4.267353713512420654e-01,5.144894123077392578e-02,3.875523805618286133e-03,1.236914098262786865e-01,1.235912799835205078e+00,1.588964760303497314e-01,5.937187671661376953e-01,-2.791207075119018555e+00,1.435628831386566162e-01,3.319052755832672119e-01,-3.396961390972137451e-01,8.913704752922058105e-02,7.916250228881835938e-01,1.314840912818908691e+00,3.875523805618286133e-02,2.226445376873016357e-01,-2.812059164047241211e+00,4.246226325631141663e-02,1.090545892715454102e+00,3.698828816413879395e-01,3.875523805618286133e-03,-9.895312786102294922e-01,1.278114199638366699e+00,-3.100419044494628906e-02,4.205507934093475342e-01,-2.765505552291870117e+00,8.088049478828907013e-03,1.043130874633789062e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850237965583801270e-01,6.724779959768056870e-03,-5.087786540389060974e-02,1.646037548780441284e-01
2.026568412780761719e+00,-1.243572235107421875e-01,1.240167617797851562e-01,2.473828196525573730e-02,1.207088589668273926e+00,1.550209522247314453e-01,1.731679737567901611e-01,-2.731636762619018555e+00,4.650628566741943359e-02,4.267353713512420654e-01,5.144894123077392578e-02,3.875523805618286133e-03,1.236914098262786865e-01,1.235912799835205078e+00,1.588964760303497314e-01,5.937187671661376953e-01,-2.791207075119018555e+00,1.435628831386566162e-01,3.319052755832672119e-01,-3.396961390972137451e-01,8.913704752922058105e-02,7.916250228881835938e-01,1.314840912818908691e+00,3.875523805618286133e-02,2.226445376873016357e-01,-2.812059164047241211e+00,4.246226325631141663e-02,1.090545892715454102e+00,3.698828816413879395e-01,3.875523805618286133e-03,-9.895312786102294922e-01,1.278114199638366699e+00,-3.100419044494628906e-02,4.205507934093475342e-01,-2.765505552291870117e+00,8.088049478828907013e-03,1.043130874633789062e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.850237965583801270e-01,6.724779959768056870e-03,-5.087786540389060974e-02,1.646037548780441284e-01
